Fecha;Posicion;Interes Abierto
2021-05-18;2021-11-30;196697
2021-05-18;2021-12-31;120278
2021-05-18;2022-01-31;34717
2021-05-17;2021-08-31;174348
2021-05-17;2021-09-30;201654
2021-05-17;2021-10-31;159252
2021-05-17;2021-11-30;186166
2021-05-17;2021-12-31;118178
2021-05-17;2022-01-31;34697
2021-05-14;2021-08-31;180157
2021-05-14;2021-09-30;185408
2021-05-14;2021-10-31;155954
2021-05-14;2021-11-30;184142
2021-05-14;2021-12-31;118243
2021-05-14;2022-01-31;30929
2021-05-13;2021-08-31;178356
2021-05-13;2021-09-30;175729
2021-05-13;2021-10-31;156722
2021-05-13;2021-11-30;180968
2021-05-13;2021-12-31;118365
2021-05-13;2022-01-31;28197
2021-05-12;2021-08-31;171885
2021-05-12;2021-09-30;172949
2021-05-12;2021-10-31;153571
2021-05-12;2021-11-30;179325
2021-05-12;2021-12-31;118152
2021-05-12;2022-01-31;24074
2021-05-11;2021-08-31;175136
2021-05-11;2021-09-30;167839
2021-05-11;2021-10-31;153621
2021-05-11;2021-11-30;179661
2021-05-11;2021-12-31;116662
2021-05-11;2022-01-31;22473
2021-05-10;2021-08-31;180317
2021-05-10;2021-09-30;175288
2021-05-10;2021-10-31;160015
2021-05-10;2021-11-30;177598
2021-05-10;2021-12-31;113474
2021-05-10;2022-01-31;23810
2021-05-07;2021-08-31;171844
2021-05-07;2021-09-30;176975
2021-05-07;2021-10-31;154818
2021-05-07;2021-11-30;180377
2021-05-07;2021-12-31;113366
2021-05-07;2022-01-31;22866
2021-05-06;2021-08-31;166395
2021-05-06;2021-09-30;177245
2021-05-06;2021-10-31;147488
2021-05-06;2021-11-30;175276
2021-05-06;2021-12-31;113321
2021-05-06;2022-01-31;22751
2021-05-05;2021-08-31;158834
2021-05-05;2021-09-30;176828
2021-05-05;2021-10-31;145958
2021-05-05;2021-11-30;170317
2021-05-05;2021-12-31;112616
2021-05-05;2022-01-31;21641
2021-05-04;2021-08-31;148035
2021-05-04;2021-09-30;177728
2021-05-04;2021-10-31;139977
2021-05-04;2021-11-30;166968
2021-05-04;2021-12-31;106591
2021-05-04;2022-01-31;19741
2021-05-03;2021-08-31;146899
2021-05-03;2021-09-30;152776
2021-05-03;2021-10-31;139977
2021-05-03;2021-11-30;162820
2021-05-03;2021-12-31;116751
2021-05-03;2022-01-31;18144
2021-04-30;2021-08-31;141383
2021-04-30;2021-09-30;144538
2021-04-30;2021-10-31;138511
2021-04-30;2021-11-30;161183
2021-04-30;2021-12-31;116724
2021-04-30;2022-01-31;17938
2021-04-29;2021-08-31;144558
