Fecha;Cta. Cte. en BCRA;Circulante;<NA>
2017-11-01;944009,247930915;2993806,9398743;3937816,18780522
2017-12-01;1018076,52763996;3123110,25228016;4141186,77992012
2018-01-02;1020583,5015501;3230956,95917807;4251540,46072817
2018-02-01;1019525,12078976;3122585,54724014;4142110,6680299
2018-03-01;1052130,61259639;2993869,63780752;4046000,25040391
2018-04-03;1058594,56844291;2881279,36524768;3939873,93369059
2018-05-02;1078199,5474911;2787804,48183732;3866004,02932841
2018-06-01;1169693,56357248;2705158,00217757;3874851,56575006
2018-07-02;1201369,3604715;2719562,81916024;3920932,17963175
2018-08-01;1468900,9981628;2590199,22182831;4059100,21999111
2018-09-03;1645098,82625934;2413719,65572154;4058818,48198089
2018-10-01;1520873,49846804;2258633,56729745;3779507,06576549
2018-11-01;1530875,74641996;2156725,39755359;3687601,14397354
2018-12-03;1540877,7581055;2247833,37587345;3788711,13397894
2019-01-02;1420696,76921639;2313791,12755771;3734487,8967741
2019-02-01;1434351,0932683;2153230,08486685;3587581,17813515
2019-03-01;1262297,95657017;2058891,0579653;3321189,01453547
2019-04-01;1260426,17373928;2015591,0510303;3276017,22476958
2019-05-02;1240657,23409087;1972954,85316113;3213612,087252
2019-06-03;1153839,45790896;1982847,34520026;3136686,80310923
2019-07-01;1090317,31433751;2063126,85490183;3153444,16923934
2019-08-01;914471,324876157;1991157,72754378;2905629,05241993
2019-09-02;889168,771094288;1906911,64212498;2796080,41321927
2019-10-01;906213,363932453;1873773,67983794;2779987,0437704
2019-11-01;1236768,97493533;1805690,03940143;3042459,01433676
2019-12-02;1229241,46444629;1953597,59786199;3182839,06230827
2020-01-02;1005694,74858303;2060353,78432087;3066048,5329039
2020-02-03;1295187,5105699;2031723,83028802;3326911,34085792
2020-03-02;1281970,59426293;2022706,63682855;3304677,23109148
2020-04-01;1382301,32960027;2258362,92516836;3640664,25476863
2020-05-04;1317799,27696202;2392048,71073813;3709847,98770015
2020-06-01;1048840,8041645;2477283,92879717;3526124,73296167
2020-07-01;1089432,63136569;2620049,68162148;3709482,31298717
2020-08-03;1038598,60512072;2602466,02709192;3641064,63221263
2020-09-01;978185,99252154;2538224,40207088;3516410,39459242
2020-10-01;925697,266355766;2473136,14764296;3398833,41399873
2020-11-02;924506,415246483;2399799,31105773;3324305,72630421
2020-12-01;877460,284423576;2438055,46576809;3315515,75019166
2021-01-04;970594,461315225;2439237,04661548;3409831,50793071
2021-02-01;957795,423645649;2320871,59983934;3278667,02348499
2021-03-01;853813,568986638;2190728,9460927;3044542,51507933
2021-04-05;863463,644451862;2087595,85366138;2951059,49811324
2021-05-03;795289,319038826;2054621,42316131;2849910,74220014
2021-06-01;834160,87092861;2103371,72122659;2937532,5921552
2021-07-01;816112,592532234;2209172,73984426;3025285,33237649
2021-08-02;812700,636892857;2198096,90582857;3010797,54272143
2021-09-01;813585,5;2151117,5;2964703
