"Fecha","Total","Personales","Tarjetas","Adelantos","Hipotecarios","Prendarios","Otros","Documentos"
2018-07-03,16189,0,373,330,287,361,1655,13183
2018-07-04,16170,0,368,339,287,330,1663,13183
2018-07-05,16205,0,366,336,287,360,1668,13188
2018-07-06,16245,0,370,339,288,362,1665,13221
2018-07-10,16179,0,366,338,289,366,1671,13149
2018-07-11,16180,0,365,339,290,367,1664,13155
2018-07-12,16137,0,343,342,290,370,1664,13128
2018-07-13,16129,0,331,339,290,388,1660,13121
2018-07-16,16114,0,337,339,291,388,1659,13100
2018-07-17,16111,0,356,343,291,386,1653,13082
2018-07-18,16050,0,376,344,292,382,1654,13002
2018-07-19,16159,0,366,342,291,382,1658,13120
2018-07-20,16339,0,376,341,290,382,1657,13293
2018-07-23,16313,0,365,342,290,383,1648,13285
2018-07-24,16285,0,375,341,290,384,1641,13254
2018-07-25,16281,7,399,341,290,385,1646,13213
2018-07-26,16240,7,391,339,290,384,1651,13178
2018-07-27,16259,7,416,340,290,397,1646,13163
2018-07-30,16244,7,391,340,290,398,1647,13171
2018-07-31,16249,7,408,341,289,377,1650,13177
2018-08-01,16222,7,384,340,289,397,1653,13152
2018-08-02,16239,7,393,341,291,396,1660,13151
2018-08-03,16273,7,402,339,294,385,1660,13186
2018-08-06,16262,7,405,341,294,388,1659,13168
2018-08-07,16252,7,395,341,294,386,1656,13173
2018-08-08,16302,7,384,340,294,384,1665,13228
2018-08-09,16321,7,387,341,294,384,1666,13242
2018-08-10,16321,7,376,340,293,383,1671,13251
2018-08-13,16330,7,385,340,293,377,1671,13257
2018-08-14,16308,7,387,341,294,382,1671,13226
2018-08-15,16338,7,400,348,293,368,1668,13254
2018-08-16,16371,7,409,352,296,370,1680,13257
2018-08-17,16466,7,417,358,297,369,1710,13308
2018-08-21,16462,7,424,358,295,368,1686,13324
2018-08-22,16475,7,446,358,295,366,1692,13311
2018-08-23,16515,7,437,358,290,366,1683,13374
2018-08-24,16574,7,447,368,297,369,1682,13404
2018-08-27,16493,7,429,368,298,367,1659,13365
2018-08-28,16524,7,437,369,298,364,1657,13392
2018-08-29,16556,7,455,369,298,360,1647,13420
2018-08-30,16542,7,440,372,298,316,1662,13447
2018-08-31,16535,7,432,412,299,370,1642,13373
2018-09-03,16474,7,403,412,300,346,1645,13361
2018-09-04,16418,7,382,412,300,340,1642,13335
2018-09-05,16380,7,370,412,300,342,1648,13301
2018-09-06,16335,7,366,415,301,348,1638,13260
2018-09-07,16333,7,364,414,301,352,1646,13249
2018-09-10,16285,7,349,414,301,346,1649,13219
2018-09-11,16230,7,337,414,301,343,1651,13177
2018-09-12,16195,7,309,413,301,344,1644,13177
2018-09-13,16166,7,301,419,301,340,1664,13134
2018-09-14,16169,7,291,421,301,335,1660,13154
2018-09-17,16098,7,294,421,301,335,1652,13088
2018-09-18,16064,7,306,421,302,335,1653,13040
2018-09-19,16061,7,312,420,302,336,1655,13029
2018-09-20,16054,7,301,420,302,342,1654,13028
2018-09-21,16054,7,308,417,307,346,1655,13014
2018-09-24,15752,7,289,419,307,135,1649,12946
2018-09-25,15908,7,299,421,307,341,1638,12895
2018-09-26,15896,7,302,421,308,340,1639,12879
